Timestep, S, V, S+V, I+VI, R, I, VI
312, 64232, 103992, 200000, 0, 31776, 0, 0
313, 63833, 104391, 200000, 0, 31776, 0, 0
314, 63433, 104791, 200000, 0, 31776, 0, 0
315, 63033, 105191, 200000, 0, 31776, 0, 0
316, 62634, 105590, 200000, 0, 31776, 0, 0
317, 62235, 105989, 200000, 0, 31776, 0, 0
318, 61836, 106388, 200000, 0, 31776, 0, 0
319, 61438, 106786, 200000, 0, 31776, 0, 0
320, 61040, 107184, 200000, 0, 31776, 0, 0
321, 60640, 107584, 200000, 0, 31776, 0, 0
322, 60242, 107982, 200000, 0, 31776, 0, 0
323, 59846, 108378, 200000, 0, 31776, 0, 0
324, 59448, 108776, 200000, 0, 31776, 0, 0
325, 59050, 109174, 200000, 0, 31776, 0, 0
326, 58651, 109573, 200000, 0, 31776, 0, 0
327, 58251, 109973, 200000, 0, 31776, 0, 0
328, 57854, 110370, 200000, 0, 31776, 0, 0
329, 57457, 110767, 200000, 0, 31776, 0, 0
330, 57064, 111160, 200000, 0, 31776, 0, 0
331, 56666, 111558, 200000, 0, 31776, 0, 0
332, 56267, 111957, 200000, 0, 31776, 0, 0
333, 55871, 112353, 200000, 0, 31776, 0, 0
334, 55473, 112751, 200000, 0, 31776, 0, 0
335, 55073, 113151, 200000, 0, 31776, 0, 0
336, 54673, 113551, 200000, 0, 31776, 0, 0
337, 54274, 113950, 200000, 0, 31776, 0, 0
338, 53874, 114350, 200000, 0, 31776, 0, 0
339, 53475, 114749, 200000, 0, 31776, 0, 0
340, 53075, 115149, 200000, 0, 31776, 0, 0
341, 52675, 115549, 200000, 0, 31776, 0, 0
342, 52281, 115943, 200000, 0, 31776, 0, 0
343, 51881, 116343, 200000, 0, 31776, 0, 0
344, 51484, 116740, 200000, 0, 31776, 0, 0
345, 51087, 117137, 200000, 0, 31776, 0, 0
346, 50688, 117536, 200000, 0, 31776, 0, 0
347, 50288, 117936, 200000, 0, 31776, 0, 0
348, 49889, 118335, 200000, 0, 31776, 0, 0
349, 49491, 118733, 200000, 0, 31776, 0, 0
350, 49093, 119131, 200000, 0, 31776, 0, 0
351, 48696, 119528, 200000, 0, 31776, 0, 0
352, 48298, 119926, 200000, 0, 31776, 0, 0
353, 47900, 120324, 200000, 0, 31776, 0, 0
354, 47500, 120724, 200000, 0, 31776, 0, 0
355, 47102, 121122, 200000, 0, 31776, 0, 0
356, 46705, 121519, 200000, 0, 31776, 0, 0
357, 46305, 121919, 200000, 0, 31776, 0, 0
358, 45907, 122317, 200000, 0, 31776, 0, 0
359, 45509, 122715, 200000, 0, 31776, 0, 0
360, 45110, 123114, 200000, 0, 31776, 0, 0
361, 44713, 123511, 200000, 0, 31776, 0, 0
362, 44314, 123910, 200000, 0, 31776, 0, 0
363, 43917, 124307, 200000, 0, 31776, 0, 0
364, 43520, 124704, 200000, 0, 31776, 0, 0
365, 43120, 125104, 200000, 0, 31776, 0, 0
366, 42723, 125501, 200000, 0, 31776, 0, 0
367, 42325, 125899, 200000, 0, 31776, 0, 0
368, 41927, 126297, 200000, 0, 31776, 0, 0
369, 41528, 126696, 200000, 0, 31776, 0, 0
370, 41129, 127095, 200000, 0, 31776, 0, 0
371, 40732, 127492, 200000, 0, 31776, 0, 0
372, 40333, 127891, 200000, 0, 31776, 0, 0
373, 39934, 128290, 200000, 0, 31776, 0, 0
374, 39535, 128689, 200000, 0, 31776, 0, 0
375, 39139, 129085, 200000, 0, 31776, 0, 0
376, 38741, 129483, 200000, 0, 31776, 0, 0
377, 38342, 129882, 200000, 0, 31776, 0, 0
378, 37943, 130281, 200000, 0, 31776, 0, 0
379, 37546, 130678, 200000, 0, 31776, 0, 0
380, 37149, 131075, 200000, 0, 31776, 0, 0
381, 36752, 131472, 200000, 0, 31776, 0, 0
382, 36354, 131870, 200000, 0, 31776, 0, 0
383, 35958, 132266, 200000, 0, 31776, 0, 0
384, 35561, 132663, 200000, 0, 31776, 0, 0
385, 35162, 133062, 200000, 0, 31776, 0, 0
386, 34764, 133460, 200000, 0, 31776, 0, 0
387, 34366, 133858, 200000, 0, 31776, 0, 0
388, 33967, 134257, 200000, 0, 31776, 0, 0
389, 33573, 134651, 200000, 0, 31776, 0, 0
390, 33179, 135045, 200000, 0, 31776, 0, 0
